OGF_ID,OFFICIAL_NAME,PARK_OR_RESERVE_IDENT,REGULATED_IND,LOCATION_ACCURACY,LOCATION_DESCR,GEOG_UNIT_DESCR,SENSITIVITY_CLASS,SENSITIVITY_DATE,SENSITIVITY_RATIONALE,SENS_RATIONALE_OTHER_DESCR,VERIFICATION_STATUS_FLG,VERIFICATION_STATUS_DATE,BUSINESS_EFF_DATE_FLG,BUSINESS_EFFECTIVE_DATE,BUSINESS_EXPIRY_DATE,SYSTEM_CALCULATED_AREA,SYSTEM_CALCULATED_LENGTH,USER_CALCULATED_METRIC,GENERAL_COMMENTS,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
1200809238,Potential Rouge Park North of Steeles,176314724864039,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 4, Lot 26-30",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 13:00:24+00,,3736354,,0,,,1998/11/23 12:50:10+00,2004/01/08 16:22:27+00,11,0,0
1200809287,Potential Rouge Park North of Steeles,176398704864339,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 8, Lot 21-23",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 14:21:13+00,,57083,,0,,,1998/11/23 12:50:29+00,2004/01/08 16:22:27+00,12,0,0
1200809114,Potential Rouge Park North of Steeles,176393674864266,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 8, Lot 22",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/01 00:00:00+00,Estimated,1998/05/01 07:54:34+00,,1107294,,0,,,1998/11/23 12:49:22+00,2004/01/08 16:22:27+00,13,0,0
1201713347,King Township Property 1,King-1,No,Within 10 metres,"York Region, King Township, Pt Lots 2 & 3, Con. 4",Property Owner - King Township,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,2002/05/21 00:00:00+00,Estimated,2002/05/21 00:00:00+00,,224015.188,,0,,,2002/05/21 08:23:48+00,2004/01/08 16:22:27+00,14,0,0
1201713348,King Township Property 2,King-2,No,Within 10 metres,"York Region, King Township, Pt Lot 3, Conc. 4",Property Owner - King Township,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,2002/05/21 00:00:00+00,Estimated,2002/05/21 00:00:00+00,,18720.391,,0,,,2002/05/21 08:30:21+00,2004/01/08 16:22:27+00,15,0,0
1200809111,Potential Rouge Park North of Steeles,176406054863233,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 8, Lot 19-20",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/01 00:00:00+00,Estimated,1998/05/01 07:48:48+00,,790878,,0,,,1998/11/23 12:49:21+00,2004/01/08 16:22:27+00,16,0,0
1200809110,Potential Rouge Park North of Steeles,176416434863298,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 9, Lot 18,19",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/01 00:00:00+00,Estimated,1998/05/01 07:47:40+00,,824900,,0,,,1998/11/23 12:49:21+00,2004/01/08 16:22:27+00,17,0,0
1200809109,Potential Rouge Park North of Steeles,176425904862988,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 9, Lot 17",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/01 00:00:00+00,Estimated,1998/05/01 07:46:29+00,,344128,,0,,,1998/11/23 12:49:21+00,2004/01/08 16:22:27+00,18,0,0
1200809108,Potential Rouge Park North of Steeles,176432824862913,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 10, Lot 16,17",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/01 00:00:00+00,Estimated,1998/05/01 07:45:03+00,,99167,,0,,,1998/11/23 12:49:20+00,2004/01/08 16:22:27+00,19,0,0
1200809232,Potential Rouge Park North of Steeles,176320924861993,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 4, Lot 21-25",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 12:46:59+00,,2080405,,0,,,1998/11/23 12:50:08+00,2004/01/08 16:22:27+00,20,0,0
1200809101,Potential Rouge Park North of Steeles,176441924861266,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 10, Lot 11-15",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/01 00:00:00+00,Estimated,1998/05/01 07:20:59+00,,461062,,0,,,1998/11/23 12:49:17+00,2004/01/08 16:22:27+00,21,0,0
1200809103,Potential Rouge Park North of Steeles,176437814861609,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 10, Lot 11-15",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/01 00:00:00+00,Estimated,1998/05/01 07:39:12+00,,625043,,0,,,1998/11/23 12:49:18+00,2004/01/08 16:22:27+00,22,0,0
1201713340,Richmond Hill Property 5,RH-5,No,Within 10 metres,"York Region, Town of Richmond Hill, Pt Lots 53 & 54, Conc. 1 West of Yonge",Property Owner - Town of Richmond Hill,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,2002/05/17 00:00:00+00,Estimated,2002/05/17 00:00:00+00,,84843.766,,0,,,2002/05/17 15:01:19+00,2004/01/08 16:22:27+00,23,0,0
1200809221,Potential Rouge Park North of Steeles,176344044860773,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 5, Lot 16-20",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 12:17:15+00,,3323356,,0,,,1998/11/23 12:50:03+00,2004/01/08 16:22:27+00,24,0,0
1200809261,Potential Rouge Park North of Steeles,176294614860871,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 3, Lot 21-24",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 13:41:31+00,,981908,,0,,,1998/11/23 12:50:19+00,2004/01/08 16:22:27+00,25,0,0
1201713341,Richmond Hill Property 6,RH-6,No,Within 10 metres,"York Region, Town of Richmond Hill, Lot 52, Conc. 1 West of Yonge",Property Owner - Town of Richmond Hill,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,2002/05/17 00:00:00+00,Estimated,2002/05/17 00:00:00+00,,84758.125,,0,,,2002/05/17 15:17:32+00,2004/01/08 16:22:27+00,26,0,0
1200809228,Potential Rouge Park North of Steeles,176333574861042,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 5, Lot 18-20",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 12:20:47+00,,153081,,0,,,1998/11/23 12:50:06+00,2004/01/08 16:22:27+00,27,0,0
1200809100,Potential Rouge Park North of Steeles,176445834860919,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 10, Lot 10-11",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/01 00:00:00+00,Estimated,1998/05/01 07:10:38+00,,170035,,0,,,1998/11/23 12:49:17+00,2004/01/08 16:22:27+00,28,0,0
1201713344,City of Vaughan Property 2,Vaughan-2,No,Within 10 metres,"York Region, City of Vaughan, Pt Lots 26 & 27, Conc. 2",Property Owner - City of Vaughan,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,2002/05/21 00:00:00+00,Estimated,2002/05/21 00:00:00+00,,98000.609,,0,,,2002/05/21 07:54:54+00,2004/01/08 16:22:27+00,29,0,0
1201713342,Richmond Hill Property 7,RH-7,No,Within 10 metres,"York Region, Town of Richmond Hill, Pt Lots 51 & 52, Con. 1 West of Yonge",Property Owner - Town of Richmond Hill,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,2002/05/17 00:00:00+00,Estimated,2002/05/17 00:00:00+00,,46711.312,,0,,,2002/05/17 15:29:47+00,2004/01/08 16:22:27+00,30,0,0
1200809286,Potential Rouge Park North of Steeles,176445414860189,,RE Reliable (to 100m),"York Region, Markham Twp., Conc. 10, Lot 7-10",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/10 00:00:00+00,Estimated,1998/05/10 14:20:55+00,,70936,,0,,,1998/11/23 12:50:28+00,2004/01/08 16:22:27+00,31,0,0
1200809098,Potential Rouge Park North of Steeles,176441774860149,,RE Reliable (to 100m),"York Region, Markham Twp., Conc.10, Lot 9-10",,Non-Sensitive,2007/01/06 22:53:22+00,No Restriction Needed,,Verified,1998/05/01 00:00:00+00,Estimated,1998/05/01 07:07:34+00,,365449,,0,,,1998/11/23 12:49:16+00,2004/01/08 16:22:27+00,32,0,0
